epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.5704,0.96609,0.74645,1,0.65625,0.000414916,0.000414916,0.000414916
2,20.6278,0.65804,0.75355,1,0.62659,0.00082335,0.00082335,0.00082335
3,29.3366,0.61592,0.75355,1,0.58765,0.00122353,0.00122353,0.00122353
4,38.2517,0.60147,0.83649,1,0.46864,0.00121287,0.00121287,0.00121287
5,47.6389,0.55094,0.8673,1,0.36967,0.0012005,0.0012005,0.0012005
6,56.2738,0.51203,0.87915,1,0.31919,0.00118812,0.00118812,0.00118812
7,65.4973,0.46708,0.87678,1,0.31521,0.00117575,0.00117575,0.00117575
8,74.39,0.4715,0.8673,1,0.35779,0.00116337,0.00116337,0.00116337
9,83.3964,0.4505,0.87204,1,0.30819,0.001151,0.001151,0.001151
10,92.6116,0.43398,0.86967,1,0.37551,0.00113863,0.00113863,0.00113863
11,101.691,0.42535,0.87441,1,0.32234,0.00112625,0.00112625,0.00112625
12,110.539,0.39809,0.87915,1,0.31562,0.00111388,0.00111388,0.00111388
13,119.356,0.38642,0.86019,1,0.37039,0.0011015,0.0011015,0.0011015
14,128.919,0.3925,0.88626,1,0.32528,0.00108913,0.00108913,0.00108913
15,140.905,0.37964,0.88626,1,0.29852,0.00107675,0.00107675,0.00107675
16,151.827,0.35665,0.891,1,0.29485,0.00106437,0.00106437,0.00106437
17,163.176,0.34758,0.88389,1,0.3245,0.001052,0.001052,0.001052
18,173.694,0.35098,0.89336,1,0.30739,0.00103962,0.00103962,0.00103962
19,184.761,0.35774,0.90758,1,0.26334,0.00102725,0.00102725,0.00102725
20,195.83,0.3331,0.91469,1,0.24028,0.00101488,0.00101488,0.00101488
21,207.147,0.33776,0.86019,1,0.38029,0.0010025,0.0010025,0.0010025
22,218.459,0.34357,0.89573,1,0.28565,0.000990125,0.000990125,0.000990125
23,229.904,0.3174,0.8981,1,0.24833,0.00097775,0.00097775,0.00097775
24,240.924,0.31135,0.891,1,0.267,0.000965375,0.000965375,0.000965375
25,252.561,0.30636,0.90284,1,0.28326,0.000953,0.000953,0.000953
26,263.833,0.30861,0.8981,1,0.25323,0.000940625,0.000940625,0.000940625
27,274.81,0.32229,0.90047,1,0.24774,0.00092825,0.00092825,0.00092825
28,286.092,0.30396,0.86493,1,0.2997,0.000915875,0.000915875,0.000915875
29,296.835,0.30125,0.88389,1,0.28405,0.0009035,0.0009035,0.0009035
30,308.051,0.26932,0.92417,1,0.22881,0.000891125,0.000891125,0.000891125
31,318.878,0.28986,0.90521,1,0.23671,0.00087875,0.00087875,0.00087875
32,330.182,0.27912,0.88863,1,0.32653,0.000866375,0.000866375,0.000866375
33,341.633,0.27491,0.88863,1,0.2681,0.000854,0.000854,0.000854
34,352.403,0.26434,0.88626,1,0.30447,0.000841625,0.000841625,0.000841625
