epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1965,0.94017,0.77251,1,0.63693,0.000414916,0.000414916,0.000414916
2,19.388,0.60842,0.77962,1,0.51261,0.00082335,0.00082335,0.00082335
3,28.0282,0.58028,0.85308,1,0.39718,0.00122353,0.00122353,0.00122353
4,36.9262,0.56079,0.85308,1,0.5204,0.00121287,0.00121287,0.00121287
5,46.2517,0.52528,0.83886,1,0.42763,0.0012005,0.0012005,0.0012005
6,55.2467,0.46945,0.89336,1,0.30368,0.00118812,0.00118812,0.00118812
7,64.1147,0.42215,0.87915,1,0.30129,0.00117575,0.00117575,0.00117575
8,72.9392,0.41411,0.88389,1,0.32679,0.00116337,0.00116337,0.00116337
9,82.1862,0.37453,0.8436,1,0.35863,0.001151,0.001151,0.001151
10,90.3957,0.38623,0.87204,1,0.35345,0.00113863,0.00113863,0.00113863
11,99.7065,0.35297,0.86967,1,0.36984,0.00112625,0.00112625,0.00112625
12,108.558,0.35059,0.88152,1,0.33063,0.00111388,0.00111388,0.00111388
13,117.645,0.34776,0.88863,1,0.30453,0.0011015,0.0011015,0.0011015
14,126.56,0.30996,0.891,1,0.2768,0.00108913,0.00108913,0.00108913
15,135.731,0.31554,0.87441,1,0.36208,0.00107675,0.00107675,0.00107675
16,145.523,0.31695,0.88863,1,0.28162,0.00106437,0.00106437,0.00106437
17,156.889,0.30748,0.86493,1,0.35669,0.001052,0.001052,0.001052
18,167.419,0.2833,0.90995,1,0.3007,0.00103962,0.00103962,0.00103962
19,178.38,0.29335,0.88389,1,0.29813,0.00102725,0.00102725,0.00102725
20,190.153,0.29212,0.90047,1,0.30779,0.00101488,0.00101488,0.00101488
21,200.206,0.2718,0.88863,1,0.32312,0.0010025,0.0010025,0.0010025
22,210.305,0.28731,0.88626,1,0.29682,0.000990125,0.000990125,0.000990125
23,220.141,0.26992,0.89573,1,0.29722,0.00097775,0.00097775,0.00097775
24,230.204,0.25462,0.88863,1,0.31637,0.000965375,0.000965375,0.000965375
25,242.035,0.24713,0.88626,1,0.39027,0.000953,0.000953,0.000953
26,253.563,0.24467,0.91232,1,0.27672,0.000940625,0.000940625,0.000940625
27,264.974,0.23463,0.88389,1,0.29199,0.00092825,0.00092825,0.00092825
28,276.389,0.233,0.90758,1,0.2352,0.000915875,0.000915875,0.000915875
29,287.315,0.23435,0.90758,1,0.23952,0.0009035,0.0009035,0.0009035
30,298.048,0.21468,0.91232,1,0.24908,0.000891125,0.000891125,0.000891125
31,308.834,0.23868,0.90284,1,0.24455,0.00087875,0.00087875,0.00087875
32,320.178,0.20896,0.8981,1,0.30978,0.000866375,0.000866375,0.000866375
33,331.186,0.20699,0.89336,1,0.26757,0.000854,0.000854,0.000854
34,341.816,0.19891,0.89573,1,0.34347,0.000841625,0.000841625,0.000841625
35,352.704,0.20695,0.90284,1,0.29529,0.00082925,0.00082925,0.00082925
36,364.269,0.20231,0.88626,1,0.3306,0.000816875,0.000816875,0.000816875
37,375.197,0.20271,0.88863,1,0.2716,0.0008045,0.0008045,0.0008045
38,386.685,0.20675,0.891,1,0.36953,0.000792125,0.000792125,0.000792125
39,398.32,0.19661,0.89573,1,0.29358,0.00077975,0.00077975,0.00077975
40,409.236,0.19314,0.891,1,0.27944,0.000767375,0.000767375,0.000767375
41,419.943,0.17638,0.88626,1,0.31106,0.000755,0.000755,0.000755
42,431.384,0.17939,0.8981,1,0.26321,0.000742625,0.000742625,0.000742625
43,442.135,0.17371,0.90995,1,0.24805,0.00073025,0.00073025,0.00073025
44,453.031,0.14921,0.91943,1,0.26297,0.000717875,0.000717875,0.000717875
45,463.913,0.15513,0.90047,1,0.30203,0.0007055,0.0007055,0.0007055
46,474.507,0.16875,0.91469,1,0.29879,0.000693125,0.000693125,0.000693125
47,485.559,0.15834,0.891,1,0.36242,0.00068075,0.00068075,0.00068075
48,496.787,0.15687,0.88389,1,0.34757,0.000668375,0.000668375,0.000668375
49,507.705,0.15684,0.90047,1,0.32717,0.000656,0.000656,0.000656
50,518.07,0.15461,0.8981,1,0.26838,0.000643625,0.000643625,0.000643625
51,529.061,0.15364,0.90284,1,0.2827,0.00063125,0.00063125,0.00063125
52,539.532,0.14928,0.92417,1,0.25252,0.000618875,0.000618875,0.000618875
53,550.191,0.13266,0.90758,1,0.31433,0.0006065,0.0006065,0.0006065
54,561.354,0.14516,0.90284,1,0.28443,0.000594125,0.000594125,0.000594125
55,571.892,0.14509,0.89573,1,0.34838,0.00058175,0.00058175,0.00058175
56,582.912,0.13631,0.90995,1,0.3497,0.000569375,0.000569375,0.000569375
57,593.973,0.13248,0.91232,1,0.34533,0.000557,0.000557,0.000557
58,605.214,0.12589,0.90995,1,0.28456,0.000544625,0.000544625,0.000544625
59,615.907,0.12952,0.90758,1,0.29492,0.00053225,0.00053225,0.00053225
60,626.675,0.1251,0.90521,1,0.2858,0.000519875,0.000519875,0.000519875
61,637.08,0.11483,0.90995,1,0.31712,0.0005075,0.0005075,0.0005075
62,647.972,0.13333,0.92654,1,0.25911,0.000495125,0.000495125,0.000495125
63,658.799,0.11037,0.91469,1,0.27378,0.00048275,0.00048275,0.00048275
64,669.992,0.10214,0.91232,1,0.36479,0.000470375,0.000470375,0.000470375
65,680.894,0.10762,0.90995,1,0.29979,0.000458,0.000458,0.000458
