epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.75985,0.93601,0.73376,1,0.70824,0.000414414,0.000414414,0.000414414
2,11.595,0.8396,0.65293,1,0.80439,0.000822853,0.000822853,0.000822853
3,16.8021,0.81791,0.76228,1,0.67429,0.00122304,0.00122304,0.00122304
4,21.5656,0.80601,0.7401,1,0.68201,0.00121287,0.00121287,0.00121287
5,26.5014,0.73773,0.78447,1,0.55151,0.0012005,0.0012005,0.0012005
6,31.5979,0.71112,0.80349,1,0.48623,0.00118812,0.00118812,0.00118812
7,36.5722,0.66512,0.84945,1,0.44685,0.00117575,0.00117575,0.00117575
8,41.4304,0.65623,0.84945,1,0.45939,0.00116337,0.00116337,0.00116337
9,46.4374,0.60808,0.83201,1,0.47614,0.001151,0.001151,0.001151
10,51.2193,0.62002,0.813,1,0.49624,0.00113863,0.00113863,0.00113863
11,56.1363,0.60801,0.84945,1,0.39719,0.00112625,0.00112625,0.00112625
12,60.9313,0.54084,0.8542,1,0.41176,0.00111388,0.00111388,0.00111388
13,66.1021,0.5517,0.84786,1,0.45387,0.0011015,0.0011015,0.0011015
14,71.0332,0.55185,0.84628,1,0.40107,0.00108913,0.00108913,0.00108913
15,75.9353,0.54872,0.85895,1,0.38763,0.00107675,0.00107675,0.00107675
16,80.7128,0.50892,0.85895,1,0.41908,0.00106437,0.00106437,0.00106437
17,85.7186,0.54145,0.85895,1,0.3849,0.001052,0.001052,0.001052
18,90.6143,0.50489,0.8542,1,0.38552,0.00103962,0.00103962,0.00103962
19,95.7952,0.51717,0.86212,1,0.37679,0.00102725,0.00102725,0.00102725
20,100.58,0.4868,0.86846,1,0.36873,0.00101488,0.00101488,0.00101488
21,105.558,0.49878,0.87956,1,0.35325,0.0010025,0.0010025,0.0010025
22,110.519,0.486,0.87639,1,0.37158,0.000990125,0.000990125,0.000990125
23,115.444,0.49106,0.85895,1,0.36253,0.00097775,0.00097775,0.00097775
24,120.401,0.50466,0.83043,1,0.44959,0.000965375,0.000965375,0.000965375
25,125.232,0.4701,0.87639,1,0.37842,0.000953,0.000953,0.000953
26,130.236,0.46793,0.87797,1,0.34142,0.000940625,0.000940625,0.000940625
27,135.292,0.44834,0.87005,1,0.36475,0.00092825,0.00092825,0.00092825
28,140.112,0.47772,0.87005,1,0.35435,0.000915875,0.000915875,0.000915875
29,145.381,0.44,0.83994,1,0.47716,0.0009035,0.0009035,0.0009035
30,150.335,0.43426,0.88273,1,0.34185,0.000891125,0.000891125,0.000891125
31,155.476,0.44665,0.86371,1,0.37707,0.00087875,0.00087875,0.00087875
32,160.877,0.43772,0.88273,1,0.35194,0.000866375,0.000866375,0.000866375
33,165.751,0.44261,0.8954,1,0.31977,0.000854,0.000854,0.000854
34,170.591,0.4234,0.87163,1,0.36085,0.000841625,0.000841625,0.000841625
35,175.574,0.40413,0.90333,1,0.2942,0.00082925,0.00082925,0.00082925
36,180.409,0.41703,0.87163,1,0.37847,0.000816875,0.000816875,0.000816875
37,185.309,0.41491,0.8859,1,0.31595,0.0008045,0.0008045,0.0008045
38,190.242,0.38526,0.87956,1,0.33965,0.000792125,0.000792125,0.000792125
39,195.088,0.40584,0.88273,1,0.31324,0.00077975,0.00077975,0.00077975
40,200.042,0.3988,0.89382,1,0.31344,0.000767375,0.000767375,0.000767375
41,204.984,0.40125,0.88906,1,0.33739,0.000755,0.000755,0.000755
42,209.954,0.38899,0.89382,1,0.30973,0.000742625,0.000742625,0.000742625
43,215.038,0.39067,0.8954,1,0.31776,0.00073025,0.00073025,0.00073025
44,219.885,0.35956,0.8954,1,0.29288,0.000717875,0.000717875,0.000717875
45,224.831,0.39446,0.88273,1,0.34301,0.0007055,0.0007055,0.0007055
46,229.671,0.37631,0.89382,1,0.32296,0.000693125,0.000693125,0.000693125
47,234.603,0.34843,0.88748,1,0.3446,0.00068075,0.00068075,0.00068075
48,239.799,0.35989,0.88273,1,0.34586,0.000668375,0.000668375,0.000668375
49,244.765,0.3516,0.88748,1,0.34224,0.000656,0.000656,0.000656
50,250.329,0.36416,0.90016,1,0.29091,0.000643625,0.000643625,0.000643625
51,256.08,0.34577,0.89857,1,0.29348,0.00063125,0.00063125,0.00063125
52,261.474,0.33469,0.88273,1,0.33434,0.000618875,0.000618875,0.000618875
53,266.325,0.34708,0.89382,1,0.30448,0.0006065,0.0006065,0.0006065
54,271.283,0.34946,0.88906,1,0.30042,0.000594125,0.000594125,0.000594125
55,276.279,0.31967,0.91125,1,0.2775,0.00058175,0.00058175,0.00058175
56,281.195,0.34128,0.90333,1,0.30472,0.000569375,0.000569375,0.000569375
57,286.188,0.33353,0.90016,1,0.29202,0.000557,0.000557,0.000557
58,291,0.33668,0.8859,1,0.32423,0.000544625,0.000544625,0.000544625
59,296.155,0.33142,0.89857,1,0.30123,0.00053225,0.00053225,0.00053225
60,301.01,0.3254,0.9065,1,0.2941,0.000519875,0.000519875,0.000519875
61,306.231,0.31854,0.89065,1,0.31127,0.0005075,0.0005075,0.0005075
62,311.199,0.32817,0.88748,1,0.32316,0.000495125,0.000495125,0.000495125
63,316.275,0.33003,0.8859,1,0.3215,0.00048275,0.00048275,0.00048275
64,321.748,0.30889,0.88748,1,0.32144,0.000470375,0.000470375,0.000470375
65,327.74,0.30524,0.89382,1,0.29781,0.000458,0.000458,0.000458
66,333.072,0.32832,0.89065,1,0.31718,0.000445625,0.000445625,0.000445625
67,337.979,0.31154,0.90016,1,0.31883,0.00043325,0.00043325,0.00043325
68,343.094,0.27761,0.90016,1,0.3147,0.000420875,0.000420875,0.000420875
69,348.141,0.29964,0.90174,1,0.29531,0.0004085,0.0004085,0.0004085
70,353.193,0.29032,0.90808,1,0.31094,0.000396125,0.000396125,0.000396125
71,358.209,0.2868,0.88748,1,0.34421,0.00038375,0.00038375,0.00038375
72,363.375,0.28607,0.91284,1,0.28189,0.000371375,0.000371375,0.000371375
73,368.565,0.30855,0.90491,1,0.28115,0.000359,0.000359,0.000359
74,373.69,0.27859,0.88748,1,0.32928,0.000346625,0.000346625,0.000346625
75,379.124,0.28603,0.89857,1,0.2919,0.00033425,0.00033425,0.00033425
76,384.87,0.25738,0.9065,1,0.29336,0.000321875,0.000321875,0.000321875
77,390.5,0.27486,0.89382,1,0.30083,0.0003095,0.0003095,0.0003095
78,396.006,0.26875,0.90333,1,0.28091,0.000297125,0.000297125,0.000297125
79,401.069,0.26423,0.90967,1,0.27966,0.00028475,0.00028475,0.00028475
80,405.993,0.26163,0.90174,1,0.27841,0.000272375,0.000272375,0.000272375
81,411.05,0.26139,0.89699,1,0.30525,0.00026,0.00026,0.00026
82,416.175,0.25077,0.89065,1,0.30913,0.000247625,0.000247625,0.000247625
83,421.059,0.2548,0.89699,1,0.31216,0.00023525,0.00023525,0.00023525
84,426.311,0.26527,0.9065,1,0.29726,0.000222875,0.000222875,0.000222875
85,431.603,0.24788,0.90333,1,0.3088,0.0002105,0.0002105,0.0002105
86,436.71,0.25422,0.89699,1,0.2993,0.000198125,0.000198125,0.000198125
87,442.163,0.25431,0.90491,1,0.28259,0.00018575,0.00018575,0.00018575
88,447.565,0.24101,0.90016,1,0.29273,0.000173375,0.000173375,0.000173375
89,453.493,0.24837,0.89382,1,0.30527,0.000161,0.000161,0.000161
90,459.15,0.22916,0.89223,1,0.31009,0.000148625,0.000148625,0.000148625
91,465.809,0.21657,0.89699,1,0.30714,0.00013625,0.00013625,0.00013625
